Date, Open , High , Low ,Close, Volume 
8/4/2021," $2,508.54 "," $2,764.44 "," $2,463.47 ",2724.619873," 25,038,698,173 "
8/5/2021," $2,725.67 "," $2,840.43 "," $2,540.68 ",2827.328857," 31,057,928,075 "
8/6/2021," $2,827.50 "," $2,944.90 "," $2,727.79 ",2890.94165," 26,528,577,879 "
8/7/2021," $2,891.71 "," $3,170.23 "," $2,868.54 ",3157.23877," 33,081,467,129 "
8/8/2021," $3,161.23 "," $3,184.60 "," $2,951.75 ",3013.732666," 28,433,638,008 "
8/9/2021," $3,012.89 "," $3,185.70 "," $2,900.93 ",3167.856201," 31,983,260,936 "
8/10/2021," $3,163.05 "," $3,228.94 "," $3,059.23 ",3141.691162," 27,605,221,710 "
8/11/2021," $3,142.83 "," $3,269.21 "," $3,122.92 ",3164.245117," 26,729,035,052 "
8/12/2021," $3,164.18 "," $3,236.31 "," $2,984.17 ",3043.414307," 25,403,699,845 "
8/13/2021," $3,049.00 "," $3,324.67 "," $3,037.68 ",3322.21167," 23,868,866,254 "
8/14/2021," $3,322.76 "," $3,329.28 "," $3,214.52 ",3265.443359," 19,860,862,133 "
8/15/2021," $3,266.28 "," $3,320.08 "," $3,117.79 ",3310.50415," 22,166,205,051 "
8/16/2021," $3,309.42 "," $3,333.99 "," $3,139.78 ",3156.509521," 23,080,039,949 "
8/17/2021," $3,149.38 "," $3,288.81 "," $2,996.47 ",3014.845947," 25,509,056,745 "
8/18/2021," $3,011.96 "," $3,124.98 "," $2,959.03 ",3020.089844," 21,539,248,425 "
8/19/2021," $3,019.13 "," $3,184.44 "," $2,963.15 ",3182.702148," 19,546,290,360 "
8/20/2021," $3,182.16 "," $3,298.25 "," $3,178.10 ",3286.935303," 20,885,619,828 "
8/21/2021," $3,286.93 "," $3,307.35 "," $3,209.87 ",3226.083984," 18,113,977,628 "
8/22/2021," $3,226.23 "," $3,272.73 "," $3,142.01 ",3242.115479," 15,983,278,460 "
8/23/2021," $3,241.36 "," $3,373.38 "," $3,235.85 ",3319.257324," 20,511,110,509 "
8/24/2021," $3,324.86 "," $3,358.69 "," $3,154.12 ",3172.456299," 20,131,028,906 "
8/25/2021," $3,174.27 "," $3,248.73 "," $3,086.11 ",3224.915283," 18,902,728,235 "
8/26/2021," $3,228.75 "," $3,249.66 "," $3,060.23 ",3100.325439," 17,405,668,117 "
8/27/2021," $3,096.41 "," $3,281.84 "," $3,064.49 ",3270.60083," 18,489,602,004 "
8/28/2021," $3,275.10 "," $3,284.85 "," $3,217.40 ",3244.40332," 13,709,633,698 "
8/29/2021," $3,246.77 "," $3,283.24 "," $3,158.84 ",3227.002686," 13,296,586,731 "
8/30/2021," $3,227.19 "," $3,346.58 "," $3,151.44 ",3224.374268," 19,306,924,485 "
8/31/2021," $3,227.76 "," $3,466.99 "," $3,195.22 ",3433.732666," 27,280,502,987 "
9/1/2021," $3,430.76 "," $3,836.87 "," $3,387.41 ",3834.828125," 30,070,890,104 "
9/2/2021," $3,825.03 "," $3,830.71 "," $3,726.75 ",3790.98999," 24,387,397,330 "
9/3/2021," $3,787.49 "," $4,022.47 "," $3,712.68 ",3940.614746," 26,207,765,094 "
9/4/2021," $3,937.91 "," $3,969.45 "," $3,837.93 ",3887.828369," 20,806,963,328 "
9/5/2021," $3,886.33 "," $3,979.19 "," $3,838.49 ",3952.133545," 18,371,468,576 "
9/6/2021," $3,951.52 "," $3,968.43 "," $3,868.99 ",3928.379395," 18,674,691,198 "
9/7/2021," $3,926.53 "," $3,945.31 "," $3,062.22 ",3426.394287," 39,131,346,397 "
9/8/2021," $3,428.38 "," $3,559.12 "," $3,224.76 ",3497.315186," 31,738,430,771 "
9/9/2021," $3,452.55 "," $3,562.99 "," $3,400.52 ",3427.340088," 24,118,055,831 "
9/10/2021," $3,425.56 "," $3,512.57 "," $3,157.06 ",3211.505859," 22,355,974,097 "
9/11/2021," $3,209.03 "," $3,346.53 "," $3,208.96 ",3270.278076," 18,627,122,934 "
